,username,timestamp,location,following,followers,totaltweets,retweetcount,text,hashtags
47,ckausalye,2021-01-13 15:02:47,"Pune, India",650,743,122556,7,"Massive Fire At Kolkata's #Baghbazar, 20 Fire Engines At The Spot https://t.co/hikBHKCujM https://t.co/klbGPYOilU",['Baghbazar']
48,riteshbagri,2021-01-13 15:02:02,India,530,181,9780,7,"Massive Fire At Kolkata's #Baghbazar, 20 Fire Engines At The Spot https://t.co/hikBHKCujM https://t.co/klbGPYOilU",['Baghbazar']
49,Blanch92Nucsha,2021-01-13 14:59:24,,76,274,121375,1,"West #Bengal : Fire breaks out at a colony in #Baghbazar area of #Kolkata , eight fire tenders present at the spot https://t.co/rjq9l3ymkQ","['Bengal', 'Baghbazar', 'Kolkata']"
50,_Kay_Sha_,2021-01-13 14:56:01,,328,86,10842,10,"#Update | A massive fire broke out in Kolkata's #Baghbazar area this evening. 20 fire engines are at the spot trying to bring the fire under control which broke out at a slum in the area. No one has been injured yet 

Read here: https://t.co/hikBHKCujM https://t.co/BhKiOXLcqL","['Update', 'Baghbazar']"
51,world_news_eng,2021-01-13 14:55:01,,39,1178,764610,10,"#Update | A massive fire broke out in Kolkata's #Baghbazar area this evening. 20 fire engines are at the spot trying to bring the fire under control which broke out at a slum in the area. No one has been injured yet 

Read here: https://t.co/hikBHKCujM https://t.co/BhKiOXLcqL","['Update', 'Baghbazar']"
52,1MUHAMMAD_AAQIB,2021-01-13 14:53:10,"Maharashtra, India ",4585,2460,27278,10,"#Update | A massive fire broke out in Kolkata's #Baghbazar area this evening. 20 fire engines are at the spot trying to bring the fire under control which broke out at a slum in the area. No one has been injured yet 

Read here: https://t.co/hikBHKCujM https://t.co/BhKiOXLcqL","['Update', 'Baghbazar']"
53,Hunnain_,2021-01-13 14:52:52,"Ahmedabad, Gujarat 🇮🇳",117,806,11679,9,"Massive fire breaks out at Kolkata's Baghbazar area, 20 fire engines present at spot

#Kolkata #WestBengal #Baghbazar https://t.co/dvlWTRrAO1","['Kolkata', 'WestBengal', 'Baghbazar']"
54,ndtv,2021-01-13 14:52:06,India,15,14440590,779670,10,"#Update | A massive fire broke out in Kolkata's #Baghbazar area this evening. 20 fire engines are at the spot trying to bring the fire under control which broke out at a slum in the area. No one has been injured yet 

Read here: https://t.co/hikBHKCujM https://t.co/BhKiOXLcqL","['Update', 'Baghbazar']"
55,rosammat,2021-01-13 14:52:05,,4473,841,71466,7,"Massive Fire At Kolkata's #Baghbazar, 20 Fire Engines At The Spot https://t.co/hikBHKCujM https://t.co/klbGPYOilU",['Baghbazar']
56,ndtv,2021-01-13 14:50:01,India,15,14440590,779670,7,"Massive Fire At Kolkata's #Baghbazar, 20 Fire Engines At The Spot https://t.co/hikBHKCujM https://t.co/klbGPYOilU",['Baghbazar']
57,shwetaa_9,2021-01-13 14:41:33,"New Delhi, India",818,75,31948,9,"Massive fire breaks out at Kolkata's Baghbazar area, 20 fire engines present at spot

#Kolkata #WestBengal #Baghbazar https://t.co/dvlWTRrAO1","['Kolkata', 'WestBengal', 'Baghbazar']"
58,17thNakshatraa,2021-01-13 14:40:18,Earth,89,304,21236,9,"Massive fire breaks out at Kolkata's Baghbazar area, 20 fire engines present at spot

#Kolkata #WestBengal #Baghbazar https://t.co/dvlWTRrAO1","['Kolkata', 'WestBengal', 'Baghbazar']"
59,The_Lexophile,2021-01-13 14:38:36,,836,202,3400,9,"Massive fire breaks out at Kolkata's Baghbazar area, 20 fire engines present at spot

#Kolkata #WestBengal #Baghbazar https://t.co/dvlWTRrAO1","['Kolkata', 'WestBengal', 'Baghbazar']"
60,NewsMobileIndia,2021-01-13 14:37:46,India,94,16202,166367,9,"Massive fire breaks out at Kolkata's Baghbazar area, 20 fire engines present at spot

#Kolkata #WestBengal #Baghbazar https://t.co/dvlWTRrAO1","['Kolkata', 'WestBengal', 'Baghbazar']"
61,sourav_sngupta,2021-01-13 14:33:25,"Kolkata, India",695,405,35756,3,Fire spreads in #Baghbazar. 10 fire engines at the spot. Multiple cylinder blasts reported in the colony opposite Baghbazar women College. Girish Park to Central Avenue road blocked. No reports of any casualty yet. https://t.co/yot6CyJE2O,['Baghbazar']
62,ArunShivhare100,2021-01-13 14:32:02,DELHI,1981,102,32007,3,Fire spreads in #Baghbazar. 10 fire engines at the spot. Multiple cylinder blasts reported in the colony opposite Baghbazar women College. Girish Park to Central Avenue road blocked. No reports of any casualty yet. https://t.co/yot6CyJE2O,['Baghbazar']
63,SreyashiDey,2021-01-13 14:31:41,"Kolkata, India",538,5937,10633,3,Fire spreads in #Baghbazar. 10 fire engines at the spot. Multiple cylinder blasts reported in the colony opposite Baghbazar women College. Girish Park to Central Avenue road blocked. No reports of any casualty yet. https://t.co/yot6CyJE2O,['Baghbazar']
64,thelateralz,2021-01-13 14:31:26,,109,26,3063,0,"Massive Fire Breaks Out At Kolkata's Baghbazar

#Kolkata #fire #kolkatafire #baghbazar #bagbazar #westbengal #massivefire https://t.co/gnkMphyw2h","['Kolkata', 'fire', 'kolkatafire', 'baghbazar', 'bagbazar', 'westbengal', 'massivefire']"
65,Breaking24_7,2021-01-13 14:22:59,London,48,2110,111083,2,"#BreakingNews: Massive #fire breaks out at a colony at Rajballav Para in #Baghbazar area of North Kolkata, eight fire tenders present at the spot. (Further Details Awaited) | Mobile Video Courtesy: Abir Ghoshal | #KolkataFire 🔥 @Breaking_24X7 @WestBengal_BN @BengalNewzIndia https://t.co/0BVZGLOH3H","['BreakingNews', 'fire', 'Baghbazar']"
66,BengalNewzIndia,2021-01-13 14:19:45,"Kolkata, West Bengal, India",7,3058,22128,2,"#BreakingNews: Massive #fire breaks out at a colony at Rajballav Para in #Baghbazar area of North Kolkata, eight fire tenders present at the spot. (Further Details Awaited) | Mobile Video Courtesy: Abir Ghoshal | #KolkataFire 🔥 @Breaking_24X7 @WestBengal_BN @BengalNewzIndia https://t.co/0BVZGLOH3H","['BreakingNews', 'fire', 'Baghbazar']"
67,BengalNewz,2021-01-13 14:18:17,Kolkata🇮🇳 and Dhaka🇧🇩,6,5277,54261,2,"#BreakingNews: Massive #fire breaks out at a colony at Rajballav Para in #Baghbazar area of North Kolkata, eight fire tenders present at the spot. (Further Details Awaited) | Mobile Video Courtesy: Abir Ghoshal | #KolkataFire 🔥 @Breaking_24X7 @WestBengal_BN @BengalNewzIndia https://t.co/0BVZGLOH3H","['BreakingNews', 'fire', 'Baghbazar', 'KolkataFire']"
68,utkarshs88,2021-01-13 14:12:27,"Delhi, India",3078,1230,6720,1,"West #Bengal : Fire breaks out at a colony in #Baghbazar area of #Kolkata , eight fire tenders present at the spot https://t.co/rjq9l3ymkQ","['Bengal', 'Baghbazar', 'Kolkata']"
69,ydnadydnad,2021-01-13 04:29:15,"India, unplugged",1982,1661,7087,0,"@Abhishek_Kar_AK That must be another Bichali Ghat! The #BichaliGhat in Baghbazar is squeezed between the current Ferry ghat and Mayer Ghat...where boats would bring  বিচালি  (rice straw) from the villages...here's a bit of #Baghbazar history.

https://t.co/T0heVRSKFH","['BichaliGhat', 'Baghbazar']"
70,ydnadydnad,2021-01-12 18:28:26,"India, unplugged",1982,1661,7087,0,Excellent initiative. I hope the #BichaliGhat near #Baghbazar - such history! - gets its due and gets a face lift too. Love walking that stretch through Kumortuli and beyond along the Ganges. https://t.co/ipzz7JugVt https://t.co/mHqAmfwSwv,"['BichaliGhat', 'Baghbazar']"
