,username,timestamp,location,following,followers,totaltweets,retweetcount,text,hashtags
376,AmitSha81107164,2021-01-12 08:29:09,भारत,99,1137,43436,4,First consignment of 6.89 lac Covishield vaccines will arrive in WB today at 2:30 PM by a special cargo flight. These vaccines will be stored at Central Vaccines Store at Baghbazar &amp; then be transported to different districts for vaccination of Healthcare workers. @ZeeNews,[]
377,DHarshwal,2021-01-12 08:26:57,"Kolkata, India",1992,376,2800,4,First consignment of 6.89 lac Covishield vaccines will arrive in WB today at 2:30 PM by a special cargo flight. These vaccines will be stored at Central Vaccines Store at Baghbazar &amp; then be transported to different districts for vaccination of Healthcare workers. @ZeeNews,[]
378,pooja_news,2021-01-12 08:24:56,"Kolkata, India",3049,13939,15219,4,First consignment of 6.89 lac Covishield vaccines will arrive in WB today at 2:30 PM by a special cargo flight. These vaccines will be stored at Central Vaccines Store at Baghbazar &amp; then be transported to different districts for vaccination of Healthcare workers. @ZeeNews,[]
379,MLAdhimanroy,2021-01-12 08:24:19,"West Bengal, India",74,1104,1065,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
380,sourav_sngupta,2021-01-12 08:23:13,"Kolkata, India",695,396,35689,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
381,Subrata88347222,2021-01-12 08:19:58,,58,0,153,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
382,ShilpiG30465116,2021-01-12 08:19:28,,691,170,14723,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
383,Mur_Att,2021-01-12 08:19:00,NSE,152,5614,28833,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
384,kachatterjee,2021-01-12 08:18:44,,329,193,5860,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
385,MISTARULSK15,2021-01-12 08:18:22,Udaychandpur,2979,2049,29891,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
386,Jamie_Venom,2021-01-12 08:18:03,,691,322,19021,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
387,Kanchan00805419,2021-01-12 08:17:52,"West Bengal, India",506,21,564,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
388,HomeBengal,2021-01-12 08:17:07,,9,26167,73,34,These  vaccines shall be stored at our Central Vaccines Store at Baghbazar and will be then transported to different districts for vaccination of Health Care Workers as per priority.(2/2),[]
389,BoidurjyaC,2021-01-12 03:15:54,,39,7,6,0,"@BSNLCorporate I submitted my phone bill for #25555535 to Baghbazar CSC, on 31st Dec via SBI Cheque, at 12pm. I was not issued any acknowledgement of payment, @BSNL_KOTD asked me to come at 3pm to collect the acknowledgement. Its not yet cleared. Can you interevene?",[]
